"
Employer

","
Job Location
","
Rank or Title
",Specialty,"
Deadline

","
Date Posted
▽

",Application Status
"
University of Hamburg
","
Germany
: Hamburg
","
Researcher 
","
Sociolinguistics;
Language Acquisition;
Multilingualism;
English; 
Russian;
Turkish
","
20-Dec-2015 
(Open until filled)
","
30-Nov-2015
","
open
"
"
The Hong Kong University of Science and Technology
","
Hong Kong
: Hong Kong
","
Director of Center for Language Education
","
Applied Linguistics;
Language Acquisition
","
10-Jan-2016 
(Open until filled)
","
27-Nov-2015
","
open
"
"
LABEX Empirical Foundations of Linguistics (EFL), Paris
","
France
: Paris Region - Villetanneuse
","
Post Doc 
","
Computational Linguistics;
Semantics
","
31-Dec-2015
","
26-Nov-2015
","
open
"
"
The Hong Kong Institute of Education
","
Hong Kong
: New Territories
","
Assistant Professor 
","
Translation
","
(Open until filled)
","
26-Nov-2015
","
open
"
"
University of Brighton
","
United Kingdom
: Brighton, East Sussex
","
Lecturer 
","
Pragmatics;
Semantics
","
11-Dec-2015
","
25-Nov-2015
","
open
"
"
University of Brighton
","
United Kingdom
: Brighton, East Sussex
","
Lecturer 
","
Discourse Analysis;
Sociolinguistics
","
11-Dec-2015
","
25-Nov-2015
","
open
"
"
University of North Carolina at Pembroke
","
USA
: North Carolina
","
Asst/Assoc Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
03-Jan-2016 
(Open until filled)
","
25-Nov-2015
","
open
"
"
University of Agder
","
Norway
: Kristiansand
","
Full Professor 
","
General Linguistics;
English
","
20-Dec-2015
","
24-Nov-2015
","
open
"
"
University of British Columbia
","
Canada
: Vancouver
","
Post Doc 
","
Applied Linguistics;
Phonetics;
Phonology;
Language Acquisition 
","
04-Dec-2015
","
24-Nov-2015
","
closed
"
"
University of California, Santa Barbara
","
USA
: California
","
Associate Professor 
","
General Linguistics
","
15-Jan-2016 
(Open until filled)
","
23-Nov-2015
","
open
"
"
University of California, Santa Barbara
","
USA
: California
","
Professor 
","
General Linguistics
","
15-Jan-2016 
(Open until filled)
","
23-Nov-2015
","
open
"
"
Copernicus Gesellschaft mbH
","
Germany
: Goettingen
","
English speaker for language copy-editing
","
General Linguistics;
Syntax;
English
","
31-Mar-2016 
(Open until filled)
","
20-Nov-2015
","
open
"
"
University of Florida
","
USA
: Florida
","
Lecturer 
","
Applied Linguistics;
Language Acquisition;
Japanese
","
15-Jan-2016 
(Open until filled)
","
20-Nov-2015
","
open
"
"
University at Albany
","
USA
: New York
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition
","
(Open until filled)
","
19-Nov-2015
","
open
"
"
Nanyang Technological University, Singapore
","
Singapore
: Singapore
","
Post Doc 
","
Discourse Analysis;
General Linguistics;
Sociolinguistics;
Translation 
","
15-Jan-2016
","
19-Nov-2015
","
open
"
"
University of Arizona
","
USA
: Arizona
","
Assistant Professor 
","
Computational Linguistics;
Psycholinguistics;
Neurolinguistics;
Cognitive Science; 
Language Acquisition
","
10-Dec-2015 
(Open until filled)
","
19-Nov-2015
","
open
"
"
University of California, Los Angeles
","
USA
: California
","
Rank Open 
","
Computational Linguistics;
Semantics;
Syntax
","
01-Jan-2016
","
19-Nov-2015
","
open
"
"
University of California, Los Angeles
","
USA
: California
","
Staff Research Associate II
","
Language Acquisition
","
15-Dec-2015
","
18-Nov-2015
","
open
"
"
Lionbridge
","
China
: Shanghai
","
Search Analyst: Chinese Simplified and Traditional
","
General Linguistics;
Chinese, Mandarin
","
13-Dec-2015
","
17-Nov-2015
","
open
"
"
Lionbridge
","
USA
: California
","
Search Analyst: English US
","
General Linguistics;
English
","
13-Dec-2015
","
17-Nov-2015
","
open
"
"
University of Mississippi
","
USA
: Mississippi
","
Assistant Professor 
","
Applied Linguistics;
Sociolinguistics;
Ling & Literature;
Language Acquisition; 
Spanish
","
(Open until filled)
","
17-Nov-2015
","
open
"
"
Google, Inc.
","
United Kingdom
: London
","
Manager 
Analytic Linguistic Project Manager
","
Computational Linguistics;
Morphology;
Semantics;
Syntax; 
Lexicography;
Russian
","
","
17-Nov-2015
","
"
"
Google, Inc.
","
United Kingdom
: London
","
Junior Linguist
","
Computational Linguistics;
Morphology;
Phonology;
Semantics; 
Syntax;
Lexicography;
Russian
","
","
17-Nov-2015
","
"
"
University of Massachusetts Lowell
","
USA
: Massachusetts
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition;
Spanish
","
30-Nov-2015 
(Open until filled)
","
17-Nov-2015
","
open
"
"
DefinedCrowd Corporation
","
USA
","
Consultant 
Part-time US English Linguists
","
Phonetics;
English
","
(Open until filled)
","
16-Nov-2015
","
open
"
"
University of Zurich
","
Switzerland
: Zurich
","
Post Doc 
","
Language Documentation;
Morphology;
Syntax;
Text/Corpus Linguistics; 
German;
Romansh;
Romance
","
18-Dec-2015
","
16-Nov-2015
","
open
"
"
SAP
","
USA
: Massachusetts
","
Senior Developer Job
","
Computational Linguistics;
Morphology;
Syntax;
English; 
French;
German
","
31-May-2016 
(Open until filled)
","
13-Nov-2015
","
open
"
"
SAP
","
USA
: Massachusetts
","
Developer Job
","
Computational Linguistics;
Morphology;
Syntax;
English; 
French;
German
","
31-May-2016 
(Open until filled)
","
13-Nov-2015
","
open
"
"
University of Auckland
","
New Zealand
: Auckland
","
Lecturer 
","
General Linguistics
","
26-Nov-2015 
(Open until filled)
","
12-Nov-2015
","
open
"
"
University of Colorado Boulder
","
USA
: Colorado
","
Instructor 
Instructor or Senior Instructor
","
Applied Linguistics;
Language Acquisition;
French
","
(Open until filled)
","
12-Nov-2015
","
open
"
"
California College of the Arts
","
USA
: California
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
08-Jan-2016
","
12-Nov-2015
","
open
"
"
Baruch College, City University of New York
","
USA
: New York
","
Assistant Professor 
","
Applied Linguistics;
Discourse Analysis;
Sociolinguistics
","
01-Dec-2015 
(Open until filled)
","
12-Nov-2015
","
open
"
"
University of Neuchatel
","
Switzerland
: Neuchatel
","
Professor 
","
General Linguistics;
German
","
15-Dec-2015
","
11-Nov-2015
","
open
"
"
University of California at Santa Barbara
","
USA
: California
","
Assistant Professor 
","
General Linguistics;
Portuguese;
Spanish
","
07-Dec-2015
","
11-Nov-2015
","
closed
"
"
Florida Atlantic University
","
USA
: Florida
","
Assistant Professor 
","
General Linguistics
","
27-Nov-2015 
(Open until filled)
","
11-Nov-2015
","
open
"
"
Nuance Communications
","
Switzerland
: Zurich
","
Post Doc 
Language Engineer (12 month contract)
","
Computational Linguistics;
Phonetics;
Phonology;
English; 
German
","
31-Dec-2015 
(Open until filled)
","
11-Nov-2015
","
open
"
"
Nuance Communications
","
Italy
: Turin
","
Researcher 
Linguist - Text-to-Speech Developer
","
Computational Linguistics;
Phonetics;
Phonology;
English; 
German
","
31-Dec-2015 
(Open until filled)
","
11-Nov-2015
","
open
"
"
Tilburg University - Tilburg School of Humanities
","
Netherlands
: Tilburg
","
Assistant Professor 
","
Computational Linguistics;
Discourse Analysis;
Cognitive Science
","
25-Nov-2015 
(Open until filled)
","
10-Nov-2015
","
open
"
"
Tilburg University - Tilburg School of Humanities
","
Netherlands
: Tilburg
","
Assistant Professor 
","
Discourse Analysis
","
25-Nov-2015 
(Open until filled)
","
10-Nov-2015
","
open
"
"
Tilburg University - Tilburg School of Humanities
","
Netherlands
: Tilburg
","
Assistant Professor 
","
Computational Linguistics;
Cognitive Science;
Artificial Intelligence
","
15-Dec-2015 
(Open until filled)
","
10-Nov-2015
","
open
"
"
Lionbridge
","
USA
: California
","
Analytical Linguist
","
Computational Linguistics;
General Linguistics;
Chinese, Wu
","
31-Dec-2015
","
10-Nov-2015
","
open
"
"
Middlebury Institute of International Studies at Monterey
","
USA
: California
","
Instructor 
","
Applied Linguistics;
Language Acquisition;
Arabic, Standard;
Chinese, Mandarin; 
French;
Russian;
Spanish
","
27-Feb-2016 
(Open until filled)
","
10-Nov-2015
","
open
"
"
Google, Inc.
","
Italy
: Milan
","
Manager 
Analytic Linguistic Project Manager
","
Computational Linguistics;
Morphology;
Semantics;
Syntax; 
Text/Corpus Linguistics;
Lexicography;
Italian
","
(Open until filled)
","
10-Nov-2015
","
open
"
"
UC Riverside
","
USA
: California
","
Lecturer 
","
Morphology;
Semantics
","
04-Dec-2015
","
09-Nov-2015
","
closed
"
"
University of Texas at El Paso
","
USA
: Texas
","
Rank Open 
","
Psycholinguistics;
Neurolinguistics;
Cognitive Science;
Language Acquisition; 
Bilingualism
","
05-Jan-2016 
(Open until filled)
","
06-Nov-2015
","
open
"
"
Ball State University
","
USA
: Indiana
","
Assistant Professor 
","
General Linguistics;
Spanish
","
(Open until filled)
","
06-Nov-2015
","
open
"
"
University of Melbourne
","
Australia
: Melbourne
","
Post Doc 
","
Language Acquisition
","
29-Nov-2015
","
06-Nov-2015
","
closed
"
"
The Chinese University of Hong Kong
","
Hong Kong
: Shatin
","
Professor 
","
Phonology
","
31-Dec-2015
","
06-Nov-2015
","
open
"
"
The Chinese University of Hong Kong
","
Hong Kong
: Shatin
","
Associate Professor 
","
Phonology
","
31-Dec-2015
","
06-Nov-2015
","
open
"
"
The Chinese University of Hong Kong
","
Hong Kong
: Shatin
","
Assistant Professor 
","
Phonology
","
31-Dec-2015
","
06-Nov-2015
","
open
"
"
James Madison University
","
USA
: Virginia
","
Lecturer 
","
Translation;
English;
Spanish
","
18-Dec-2015 
(Open until filled)
","
05-Nov-2015
","
open
"
"
James Madison University
","
USA
: Virginia
","
Assistant Professor 
","
Translation;
English;
Spanish
","
18-Dec-2015 
(Open until filled)
","
05-Nov-2015
","
open
"
"
Measurement Inc.
","
USA
: North Carolina
","
Computational Linguist
","
Computational Linguistics
","
11-Dec-2015
","
05-Nov-2015
","
open
"
"
Universität Mannheim
","
Germany
: Mannheim
","
Lecturer 
","
Psycholinguistics;
English
","
31-Dec-2015 
(Open until filled)
","
05-Nov-2015
","
open
"
"
Universität Mannheim
","
Germany
: Mannheim
","
Post Doc 
","
Psycholinguistics;
English
","
31-Dec-2015 
(Open until filled)
","
05-Nov-2015
","
open
"
"
Georg-August-Universität Göttingen
","
Germany
: Göttingen
","
Full Professor 
","
General Linguistics;
Historical Linguistics;
Linguistic Theories;
Typology; 
Indo-European
","
11-Dec-2015
","
05-Nov-2015
","
open
"
"
Google Inc.
","
India
: Bangalore
","
Junior Linguist
","
Computational Linguistics;
General Linguistics;
Hindi
","
04-May-2016 
(Open until filled)
","
04-Nov-2015
","
open
"
"
Google Inc.
","
India
: Bangalore
","
Manager 
Analytic Linguistic Project Manager
","
Computational Linguistics;
Morphology;
Semantics;
Syntax; 
Lexicography;
Hindi
","
04-May-2016 
(Open until filled)
","
04-Nov-2015
","
open
"
"
Högskolan Dalarna
","
Sweden
: Falun
","
Senior Lecturer 
","
Applied Linguistics;
Sociolinguistics;
Anthropological Linguistics;
Language Acquisition; 
Swedish
","
13-Dec-2015
","
03-Nov-2015
","
open
"
"
The American University of Armenia
","
Armenia
: Yerevan
","
Full Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
(Open until filled)
","
03-Nov-2015
","
open
"
"
University of Memphis
","
USA
: Tennessee
","
Assistant Professor 
","
Applied Linguistics
","
01-Dec-2015
","
02-Nov-2015
","
closed
"
"
Universitaet Leipzig
","
Germany
: Leipzig
","
Professor 
","
Computational Linguistics;
Morphology;
Phonology;
Psycholinguistics; 
Syntax
","
14-Nov-2015
","
30-Oct-2015
","
closed
"
"
Oracle
","
USA
: District of Columbia
","
Programmer 
Computational Linguist
","
Computational Linguistics;
Morphology;
Text/Corpus Linguistics
","
31-Dec-2020
","
30-Oct-2015
","
open
"
"
Oracle
","
USA
: District of Columbia
","
Computational Linguist
","
Computational Linguistics;
Morphology;
Text/Corpus Linguistics
","
31-Dec-2020
","
30-Oct-2015
","
open
"
"
Carnegie Mellon University
","
USA
: Pennsylvania
","
Rank Open 
","
Applied Linguistics;
Language Acquisition
","
30-Apr-2016 
(Open until filled)
","
30-Oct-2015
","
open
"
"
The Chinese University of Hong Kong
","
Hong Kong
: Shatin
","
Lecturer 
","
Applied Linguistics;
Language Acquisition;
Korean
","
13-Nov-2015
","
30-Oct-2015
","
closed
"
"
Carleton University
","
Canada
: Ottawa
","
Instructor 
","
Applied Linguistics;
Language Acquisition;
French
","
11-Dec-2015
","
30-Oct-2015
","
open
"
"
Cardiff University
","
United Kingdom
: Cardiff
","
Researcher 
","
Computational Linguistics;
General Linguistics;
Text/Corpus Linguistics;
Welsh 
","
24-Nov-2015
","
30-Oct-2015
","
closed
"
"
University of Massachusetts Boston
","
USA
: Massachusetts
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition
","
15-Nov-2015
","
30-Oct-2015
","
closed
"
"
University of Massachusetts Boston
","
USA
: Massachusetts
","
Assistant Professor 
","
Applied Linguistics;
Sociolinguistics;
Language Acquisition
","
15-Nov-2015
","
30-Oct-2015
","
closed
"
"
Swarthmore College
","
USA
: Pennsylvania
","
Visiting Professor 
","
Morphology;
Phonology;
Semantics;
Syntax 
","
15-Dec-2015 
(Open until filled)
","
30-Oct-2015
","
open
"
"
Swarthmore College
","
USA
: Pennsylvania
","
Assistant Professor 
","
Computational Linguistics;
Morphology;
Phonology;
Sociolinguistics; 
Syntax
","
15-Dec-2015 
(Open until filled)
","
30-Oct-2015
","
open
"
"
National Chiao Tung University
","
Taiwan
: Hsinchu City
","
Asst/Assoc Professor 
","
Phonetics;
Phonology
","
(Open until filled)
","
29-Oct-2015
","
open
"
"
National Chiao Tung University
","
Taiwan
: Hsinchu City
","
Full Professor 
","
Phonetics;
Phonology
","
(Open until filled)
","
29-Oct-2015
","
open
"
"
University of Missouri - Columbia
","
USA
: Missouri
","
Visiting Professor 
","
General Linguistics;
Phonology;
English
","
15-Dec-2015 
(Open until filled)
","
29-Oct-2015
","
open
"
"
University of Missouri - Columbia
","
USA
: Missouri
","
Instructor 
","
General Linguistics;
Phonology;
English
","
15-Dec-2015 
(Open until filled)
","
29-Oct-2015
","
open
"
"
The Hong Kong Institute of Education
","
Hong Kong
: New Territories
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition;
Chinese, Mandarin
","
(Open until filled)
","
28-Oct-2015
","
open
"
"
Nazarbayev University, School of Humanities and Social Sciences
","
Kazakhstan
: Astana
","
Instructor 
","
Applied Linguistics;
Language Acquisition;
French;
Spanish 
","
01-Dec-2015 
(Open until filled)
","
28-Oct-2015
","
open
"
"
University of Arizona
","
USA
: Arizona
","
Asst/Assoc Professor 
","
Applied Linguistics;
Sociolinguistics;
Anthropological Linguistics;
Language Acquisition; 
Chinese, Mandarin;
Korean
","
01-Dec-2015 
(Open until filled)
","
28-Oct-2015
","
open
"
"
University of Rochester
","
USA
: New York
","
Rank Open 
","
Computational Linguistics;
Data Science
","
15-Jan-2016 
(Open until filled)
","
28-Oct-2015
","
open
"
"
Employment agency contracting for Google
","
United Kingdom
: London
","
Speech Data Evaluator
","
Computational Linguistics;
Phonetics;
Phonology
","
11-Dec-2015 
(Open until filled)
","
28-Oct-2015
","
open
"
"
Reed College
","
USA
: Oregon
","
Assistant Professor 
","
General Linguistics;
Morphology;
Semantics;
Syntax; 
Typology;
Field Methods
","
15-Dec-2015
","
27-Oct-2015
","
open
"
"
Reed College
","
USA
: Oregon
","
Visiting Professor 
","
General Linguistics;
Morphology;
Semantics;
Syntax; 
Typology;
Field Methods
","
15-Dec-2015
","
27-Oct-2015
","
open
"
"
Cardiff University
","
United Kingdom
: Cardiff
","
Post Doc 
","
Computational Linguistics;
General Linguistics;
Text/Corpus Linguistics;
Welsh 
","
24-Nov-2015
","
27-Oct-2015
","
closed
"
"
Amazon.com (Ivona Software)
","
Poland
: Gdansk
","
Indian English TTS linguist
","
Computational Linguistics;
Phonetics;
Phonology;
English 
","
30-Nov-2015
","
27-Oct-2015
","
closed
"
"
Amazon.com (Ivona Software)
","
Poland
: Gdansk
","
Japanese TTS linguist
","
Computational Linguistics;
Phonetics;
Phonology;
Japanese 
","
30-Nov-2015
","
27-Oct-2015
","
closed
"
"
Amazon.com (Ivona Software)
","
Poland
: Gdansk
","
French TTS linguist
","
Computational Linguistics;
Phonetics;
Phonology;
French 
","
30-Nov-2015
","
27-Oct-2015
","
closed
"
"
Amazon.com (Ivona Software)
","
Poland
: Gdansk
","
German TTS Linguist
","
Computational Linguistics;
Phonetics;
Phonology;
German 
","
30-Nov-2015
","
27-Oct-2015
","
closed
"
"
Nazarbayev University, School of Humanities and Social Sciences
","
Kazakhstan
: Astana
","
Assistant Professor 
","
Applied Linguistics;
Ling & Literature;
Language Acquisition;
Chinese, Mandarin 
","
30-Nov-2015 
(Open until filled)
","
27-Oct-2015
","
open
"
"
University of Macau
","
Macau
: Macau
","
Full Professor 
Director of English Language Centre
","
Applied Linguistics;
Language Acquisition;
English
","
26-Apr-2016 
(Open until filled)
","
27-Oct-2015
","
open
"
"
University of Macau
","
Macau
: Macau
","
Associate Professor 
Director of English Language Centre
","
Applied Linguistics;
Language Acquisition;
English
","
26-Apr-2016 
(Open until filled)
","
27-Oct-2015
","
open
"
"
University of Colorado Boulder
","
USA
: Colorado
","
Assistant Professor 
","
Applied Linguistics;
Sociolinguistics;
Language Acquisition;
Bilingualism; 
Spanish
","
(Open until filled)
","
26-Oct-2015
","
open
"
"
Artificial Solutions
","
Sweden
: Stockholm
","
Consultant 
Computational Linguist, Language Engineer, Knowledge Engineer
","
Computational Linguistics;
General Linguistics;
Semantics;
Syntax; 
Swedish
","
(Open until filled)
","
23-Oct-2015
","
open
"
"
Artificial Solutions
","
Spain
: Barcelona
","
Consultant 
Computational Linguist, Language Engineer, Knowledge Engineer
","
Computational Linguistics;
Discourse Analysis;
Semantics;
Syntax; 
Text/Corpus Linguistics;
German
","
31-Dec-2015
","
23-Oct-2015
","
open
"
"
Artificial Solutions
","
Spain
: Barcelona
","
Programmer 
Computational Linguist, Language Engineer, Knowledge Engineer
","
Computational Linguistics;
Discourse Analysis;
Semantics;
Syntax; 
Text/Corpus Linguistics;
German
","
31-Dec-2015
","
23-Oct-2015
","
open
"
"
University of Bristol
","
United Kingdom
: Bristol
","
Post Doc 
","
Text/Corpus Linguistics;
Anthropological Linguistics;
Kinship
","
29-Oct-2015
","
23-Oct-2015
","
closed
"
"
Högskolan Dalarna
","
Sweden
: Falun
","
Lecturer 
","
Applied Linguistics;
Discourse Analysis;
General Linguistics;
English 
","
20-Nov-2015
","
23-Oct-2015
","
closed
"
"
San Jose State University
","
USA
: California
","
Assistant Professor 
Tenure track Assistant Professor in Quantitative Sociolinguistics
","
Morphology;
Phonetics;
Sociolinguistics;
Syntax; 
Spanish
","
15-Nov-2015
","
22-Oct-2015
","
closed
"
"
Fordham University
","
USA
: New York
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
Sociolinguistics;
Anthropological Linguistics 
","
(Open until filled)
","
21-Oct-2015
","
open
"
"
Heinrich Heine Univerity Duesseldorf, Germany
","
Germany
: Duesseldorf
","
Post Doc 
","
Semantics;
English;
German;
Slavic 
","
15-Nov-2015 
(Open until filled)
","
20-Oct-2015
","
open
"
"
Heinrich Heine Univerity Duesseldorf, Germany
","
Germany
: Duesseldorf
","
Researcher 
","
Semantics;
English;
German;
Slavic 
","
15-Nov-2015 
(Open until filled)
","
20-Oct-2015
","
open
"
"
National Taiwan University
","
Taiwan
: Taipei
","
Rank Open 
","
General Linguistics;
Psycholinguistics;
Language Acquisition
","
21-Dec-2015
","
20-Oct-2015
","
open
"
"
NC State University
","
USA
: North Carolina
","
Project Director, Language Training Center
","
Applied Linguistics;
Language Acquisition
","
30-Nov-2015 
(Open until filled)
","
20-Oct-2015
","
open
"
"
University of Warwick
","
United Kingdom
: Coventry
","
Full Professor 
","
Applied Linguistics
","
31-Dec-2015
","
19-Oct-2015
","
open
"
"
The University of Hong Kong
","
Hong Kong
: Hong Kong
","
Assistant Professor 
","
Language Documentation;
Syntax
","
10-Jan-2016
","
16-Oct-2015
","
open
"
"
University of Arizona
","
USA
: Arizona
","
Associate Professor 
","
Applied Linguistics;
Language Acquisition;
Spanish
","
24-Nov-2015 
(Open until filled)
","
16-Oct-2015
","
open
"
"
Oakland University
","
USA
: Michigan
","
Assistant Professor 
","
Syntax
","
10-Dec-2015 
(Open until filled)
","
16-Oct-2015
","
open
"
"
Yale University
","
USA
: Connecticut
","
Associate Professor 
","
Cognitive Science
","
01-Mar-2016 
(Open until filled)
","
16-Oct-2015
","
open
"
"
Yale University
","
USA
: Connecticut
","
Full Professor 
","
Cognitive Science
","
01-Mar-2016 
(Open until filled)
","
16-Oct-2015
","
open
"
"
Ewha Womans University
","
Korea, South
: Seoul
","
Assistant Professor 
","
Syntax
","
26-Oct-2015 
(Open until filled)
","
16-Oct-2015
","
open
"
"
Google, Inc.
","
Singapore
: Singapore
","
Manager 
Analytic Linguistic Project Manager
","
Computational Linguistics;
Morphology;
Phonology;
Semantics; 
Syntax;
Vietnamese
","
31-Mar-2016 
(Open until filled)
","
16-Oct-2015
","
open
"
"
Adecco Ltd. (Japan)
","
Japan
: Tokyo
","
Manager 
Analytic Linguistic Project Manager
","
Computational Linguistics;
Discourse Analysis;
Morphology;
Phonology; 
Semantics;
Syntax;
Japanese
","
31-Mar-2016 
(Open until filled)
","
16-Oct-2015
","
open
"
